id,file,junit_status,category,subcategory,expected_action,task1_impact,stable_6of6,message
tests/unit/test_v35_chained_call.py::TestDotPeriodSplit::test_dot_member_access,tests/unit/test_v35_chained_call.py,failure,语义债-代码生成断言,,语义轮：codegen 字符串断言族（点号/句号、成员赋值形态）,,True,"assert 'p.x' in ""# 由光明编译器生成\n# 源文件: 光明代码\n\ndef _light_trunc_div(a, b):\n    return a / b\n\nimport sys\nimport os\nimport ctypes\nfro... return _v\n\n# LIGHT_SRC:1\nclass P:\n    x = 0\n\n# LIGHT_SRC:3\np = P()\n# LIGHT_SRC:4\nv = _light_attr_get(p, 'x')"""
tests/unit/test_v35_chained_call.py::TestDotPeriodSplit::test_mixed_period_and_dot,tests/unit/test_v35_chained_call.py,failure,语义债-代码生成断言,,语义轮：codegen 字符串断言族（点号/句号、成员赋值形态）,,True,"assert 'p.x' in ""# 由光明编译器生成\n# 源文件: 光明代码\n\ndef _light_trunc_div(a, b):\n    return a / b\n\nimport sys\nimport os\nimport ctypes\nfro...:1\nclass P:\n    x = 0\n\n# LIGHT_SRC:3\np = P()\n# LIGHT_SRC:4\nv = _light_attr_get(p, 'x')\n# LIGHT_SRC:5\nprint(v)"""
tests/unit/test_v35_chained_call.py::TestDotPeriodSplit::test_no_period_no_dot_ambiguity,tests/unit/test_v35_chained_call.py,failure,语义债-代码生成断言,,语义轮：codegen 字符串断言族（点号/句号、成员赋值形态）,,True,"assert 'p.x = 3' in ""# 由光明编译器生成\n# 源文件: 光明代码\n\ndef _light_trunc_div(a, b):\n    return a / b\n\nimport sys\nimport os\nimport ctypes\nfro...\n# LIGHT_SRC:6\n_light_attr_set(p, 'y', (_light_attr_get(p, 'x') + 1))\n# LIGHT_SRC:7\nprint(_light_attr_get(p, 'y'))"""
tests/unit/test_v35_chained_call.py::TestDotPeriodSplit::test_period_in_class_body,tests/unit/test_v35_chained_call.py,failure,语义债-代码生成断言,,语义轮：codegen 字符串断言族（点号/句号、成员赋值形态）,,True,"assert 'self.x' in ""# 由光明编译器生成\n# 源文件: 光明代码\n\ndef _light_trunc_div(a, b):\n    return a / b\n\nimport sys\nimport os\nimport ctypes\nfro...\nclass A:\n    x = 10\n    def get(self, self):\n        # LIGHT_SRC:4\n        return _light_attr_get(self, 'x')\n\n"""
tests/unit/test_v35_chained_call.py::TestDotPeriodSplit::test_dot_access_after_new_keyword,tests/unit/test_v35_chained_call.py,failure,语义债-代码生成断言,,语义轮：codegen 字符串断言族（点号/句号、成员赋值形态）,,True,"assert 'a.x' in ""# 由光明编译器生成\n# 源文件: 光明代码\n\ndef _light_trunc_div(a, b):\n    return a / b\n\nimport sys\nimport os\nimport ctypes\nfro... return _v\n\n# LIGHT_SRC:1\nclass A:\n    x = 0\n\n# LIGHT_SRC:3\na = A()\n# LIGHT_SRC:4\nv = _light_attr_get(a, 'x')"""
tests/test_context_manager.py::TestL2OOPCodegen::test_自_param_and_body_both_self,tests/test_context_manager.py,failure,语义债-代码生成断言,,语义轮：codegen 字符串断言族（点号/句号、成员赋值形态）,,True,"assert 'self.姓名 = 姓名' in '# 由光明编译器生成\n# 源文件: 光明代码\n\nfrom abc import ABC, abstractmethod\n\ndef _light_trunc_div(a, b):\n    return a / b\n\nim...n (""学生"" + _light_attr_get(self, \'学号\'))\n\n    def 自报(self) -> str:\n        return _light_attr_get(self, \'学号\')\n\n'"
tests/test_frontend_blockers_run.py::test_a24_泛型类真跑,tests/test_frontend_blockers_run.py,failure,语义债-类/成员访问,「己」成员名未定义（己X 族）,语义轮：`己X` 未定义族归因（类/成员访问链路）,,True,AssertionError: [run] 退出码 1:   [运行错误] name '己项' is not defined       assert 1 == 0
tests/test_frontend_blockers_run.py::test_a24_多参数泛型类,tests/test_frontend_blockers_run.py,failure,语义债-类/成员访问,「己」成员名未定义（己X 族）,语义轮：`己X` 未定义族归因（类/成员访问链路）,,True,AssertionError: [run] 退出码 1:   [运行错误] name '己左' is not defined       assert 1 == 0
tests/test_context_manager.py::TestAwaitMemberAccess::test_await_chained_member,tests/test_context_manager.py,failure,语义债-代码生成断言,,语义轮：codegen 字符串断言族（点号/句号、成员赋值形态）,,True,"assert 'await 甲.乙.丙()' in ""# 由光明编译器生成\n# 源文件: 光明代码\n\ndef _light_trunc_div(a, b):\n    return a / b\n\nimport sys\nimport os\nimport ctypes\nfro...o, _k, _v)\n    return _v\n\n# LIGHT_SRC:1\nasync def 主():\n    # LIGHT_SRC:2\n    await _light_attr_get(甲, '乙').丙()\n"""
tests/test_context_manager.py::TestL0SingleCharClassKeywords::test_继承链可用,tests/test_context_manager.py,failure,语义债-类/成员访问,「己」成员名未定义（己X 族）,语义轮：`己X` 未定义族归因（类/成员访问链路）,,True,NameError: name '己名称' is not defined
tests/test_context_manager.py::TestChaoSuper::test_chao_dot_plain_method,tests/test_context_manager.py,failure,语义债-类/成员访问,「己」成员名未定义（己X 族）,语义轮：`己X` 未定义族归因（类/成员访问链路）,,True,NameError: name '己名称' is not defined
tests/test_context_manager.py::TestChaoSuper::test_chao_zhi_form,tests/test_context_manager.py,failure,语义债-类/成员访问,「己」成员名未定义（己X 族）,语义轮：`己X` 未定义族归因（类/成员访问链路）,,True,NameError: name '己名称' is not defined
tests/test_context_manager.py::TestChaoSuper::test_chao_de_form,tests/test_context_manager.py,failure,语义债-类/成员访问,「己」成员名未定义（己X 族）,语义轮：`己X` 未定义族归因（类/成员访问链路）,,True,NameError: name '己名称' is not defined
tests/test_stdlib_phase3.py::Test网络请求::test_HTTP错误响应,tests/test_stdlib_phase3.py,failure,语义债-其他,,逐条归因：stdlib_phase3 网络运行时行为、URL 编码、null_safety 断言、R13B/R13C 对拍等,,True,AssertionError: <bound method 响应.是否成功 of <网络请求.响应 object at 0xc08342046e0>> is not false
tests/test_stdlib_phase3.py::Test网络请求::test_URL编码解码,tests/test_stdlib_phase3.py,failure,语义债-其他,,逐条归因：stdlib_phase3 网络运行时行为、URL 编码、null_safety 断言、R13B/R13C 对拍等,,True,AssertionError: '???world' != '你好 world' - ???world + 你好 world
tests/test_stdlib_phase3.py::Test网络请求::test_响应对象,tests/test_stdlib_phase3.py,failure,语义债-其他,,逐条归因：stdlib_phase3 网络运行时行为、URL 编码、null_safety 断言、R13B/R13C 对拍等,,True,"AssertionError: <bound method 响应.文本 of <网络请求.响应 object at 0xc08362ad340>> != '{""key"": ""value""}'"
tests/test_stdlib_phase3.py::Test网络请求::test_拼接URL,tests/test_stdlib_phase3.py,failure,语义债-其他,,逐条归因：stdlib_phase3 网络运行时行为、URL 编码、null_safety 断言、R13B/R13C 对拍等,,True,TypeError: 拼接URL() takes 2 positional arguments but 4 were given
tests/test_stdlib_phase3.py::Test网络请求::test_解析查询串,tests/test_stdlib_phase3.py,failure,语义债-其他,,逐条归因：stdlib_phase3 网络运行时行为、URL 编码、null_safety 断言、R13B/R13C 对拍等,,True,NameError: name '新建字典' is not defined
tests/unit/test_lexer_compound_safe_alignment.py::TestDropSignaturesFixed::test_除类型错误,tests/unit/test_lexer_compound_safe_alignment.py,failure,词法层-单字保护/安全表,单字别名未进复合词安全表（frozenset() 为空）,需归因：8 条断言 frozenset() 为空，疑运行期表构造/加载问题，词法轮处置,,True,"AssertionError: ('IDENTIFIER', '除') not found in [('KEYWORD', '捕'), ('IDENTIFIER', '除类型错误'), ('IDENTIFIER', '印')]"
tests/test_frontend_blockers_run.py::test_a25_两个嵌套类且外层成员不被吞,tests/test_frontend_blockers_run.py,failure,语义债-类/成员访问,「己」成员名未定义（己X 族）,语义轮：`己X` 未定义族归因（类/成员访问链路）,,True,AssertionError: [run] 退出码 1:   [运行错误] name '己号' is not defined       assert 1 == 0
tests/test_frontend_blockers_run.py::test_p0_异步修饰符不许当值用[\u5f02\u6b65\u8bfb\u53d6\u4e8c\u8fdb\u5236],tests/test_frontend_blockers_run.py,failure,语义债-异步修饰符,`异步` 被当值用且报错信息未指出根因,语义轮：报错信息质量（未指出「异步被当值用」根因）,,True,"AssertionError: 报错没指出根因（`异步` 被当值用）:   [运行错误] name '异步读取二进制' is not defined       assert '修饰符' in (""[运行错误] name '异步读取二进制' is not defined\n"" + '')"
tests/test_frontend_blockers_run.py::test_p0_异步修饰符不许当值用[\u5f02\u6b65\u5199\u5165\u4e8c\u8fdb\u5236],tests/test_frontend_blockers_run.py,failure,语义债-异步修饰符,`异步` 被当值用且报错信息未指出根因,语义轮：报错信息质量（未指出「异步被当值用」根因）,,True,"AssertionError: 报错没指出根因（`异步` 被当值用）:   [运行错误] name '异步写入二进制' is not defined       assert '修饰符' in (""[运行错误] name '异步写入二进制' is not defined\n"" + '')"
tests/test_frontend_blockers_run.py::test_p0_异步修饰符不许当值用[\u5f02\u6b65\u4efb\u52a1\u7b49\u5f85],tests/test_frontend_blockers_run.py,failure,语义债-异步修饰符,`异步` 被当值用且报错信息未指出根因,语义轮：报错信息质量（未指出「异步被当值用」根因）,,True,"AssertionError: 报错没指出根因（`异步` 被当值用）:   [运行错误] name '异步任务等待' is not defined       assert '修饰符' in (""[运行错误] name '异步任务等待' is not defined\n"" + '')"
tests/test_frontend_blockers_run.py::test_p0_异步修饰符不许当值用[\u5f02\u6b65\u4efb\u52a1\u53d6\u6d88],tests/test_frontend_blockers_run.py,failure,语义债-异步修饰符,`异步` 被当值用且报错信息未指出根因,语义轮：报错信息质量（未指出「异步被当值用」根因）,,True,"AssertionError: 报错没指出根因（`异步` 被当值用）:   [运行错误] name '异步任务取消' is not defined       assert '修饰符' in (""[运行错误] name '异步任务取消' is not defined\n"" + '')"
tests/test_frontend_blockers_run.py::test_p0_异步修饰符不许当值用[\u5f02\u6b65\u53d6\u6570],tests/test_frontend_blockers_run.py,failure,语义债-异步修饰符,`异步` 被当值用且报错信息未指出根因,语义轮：报错信息质量（未指出「异步被当值用」根因）,,True,"AssertionError: 报错没指出根因（`异步` 被当值用）:   [运行错误] name '异步取数' is not defined       assert '修饰符' in (""[运行错误] name '异步取数' is not defined\n"" + '')"
tests/test_context_manager.py::TestJueyiE遍历为连接词::test_为搭配函数调用,tests/test_context_manager.py,failure,语义债-代码生成断言,,语义轮：codegen 字符串断言族（点号/句号、成员赋值形态）,,True,"AssertionError: assert '==' not in '# 由光明编译器生成\...    print(i)'      '==' is contained here:     at) and v == 0.0 and __import__('math').copysign(1.0, v) < 0.0),   ?           ++     ]:         if not hasattr(_light_builtin, _light_n):             setattr(_light_builtin, _light_n, _light_f)...      "
tests/test_level6_types.py::TestTypeScenarioClass::test_class_instantiation,tests/test_level6_types.py,failure,语义债-类/成员访问,「己」成员名未定义（己X 族）,语义轮：`己X` 未定义族归因（类/成员访问链路）,,True,NameError: name '己当前' is not defined
tests/test_lightpub_bridge.py::TestHTTP客户端Bridge::test_HTTP提交,tests/test_lightpub_bridge.py,error,环境红-缺依赖,requests,环境红：永久豁免（0.82 不装第三方库为既定口径）；若环境决策改变（装 cryptography/lunardate/requests）可整类解锁,,True,"failed on setup with ""ModuleNotFoundError: No module named 'requests'"""
tests/test_lightpub_bridge.py::TestHTTP客户端Bridge::test_HTTP获取,tests/test_lightpub_bridge.py,error,环境红-缺依赖,requests,环境红：永久豁免（0.82 不装第三方库为既定口径）；若环境决策改变（装 cryptography/lunardate/requests）可整类解锁,,True,"failed on setup with ""ModuleNotFoundError: No module named 'requests'"""
tests/test_lightpub_bridge.py::TestHTTP客户端Bridge::test_URL编码解码,tests/test_lightpub_bridge.py,error,环境红-缺依赖,requests,环境红：永久豁免（0.82 不装第三方库为既定口径）；若环境决策改变（装 cryptography/lunardate/requests）可整类解锁,,True,"failed on setup with ""ModuleNotFoundError: No module named 'requests'"""
tests/test_lightpub_bridge.py::TestHTTP客户端Bridge::test_导入,tests/test_lightpub_bridge.py,error,环境红-缺依赖,requests,环境红：永久豁免（0.82 不装第三方库为既定口径）；若环境决策改变（装 cryptography/lunardate/requests）可整类解锁,,True,"failed on setup with ""ModuleNotFoundError: No module named 'requests'"""
tests/test_lightpub_bridge.py::TestHTTP客户端Bridge::test_拼接URL,tests/test_lightpub_bridge.py,error,环境红-缺依赖,requests,环境红：永久豁免（0.82 不装第三方库为既定口径）；若环境决策改变（装 cryptography/lunardate/requests）可整类解锁,,True,"failed on setup with ""ModuleNotFoundError: No module named 'requests'"""
tests/test_lightpub_bridge.py::TestHTTP客户端Bridge::test_获取JSON,tests/test_lightpub_bridge.py,error,环境红-缺依赖,requests,环境红：永久豁免（0.82 不装第三方库为既定口径）；若环境决策改变（装 cryptography/lunardate/requests）可整类解锁,,True,"failed on setup with ""ModuleNotFoundError: No module named 'requests'"""
tests/unit/test_doc_examples_gate.py::TestDocExamplesGate::test_不许新增ROT,tests/unit/test_doc_examples_gate.py,failure,文档门债,docs 示例门（ROT/噪声块计数）,文档轮：清理 docs 违规块（ROT/噪声块）后对表,,True,"AssertionError: Lists differ: [] != [('docs/L1_白话体语法规范_v4.0.md', '30b8918966cf[221 chars]68')]  Second list contains 6 additional elements. First extra element 0: ('docs/L1_白话体语法规范_v4.0.md', '30b8918966cf')  - [] + [('docs/L1_白话体语法规范_v4.0.md', '30b8918966cf'), +  ('docs/L1_白话体语法规范_v4.0.md', 'ac13282"
tests/unit/test_doc_examples_gate.py::TestDocExamplesGate::test_噪声类总数不许涨,tests/unit/test_doc_examples_gate.py,failure,文档门债,docs 示例门（ROT/噪声块计数）,文档轮：清理 docs 违规块（ROT/噪声块）后对表,,True,AssertionError: 19 not less than or equal to 18 : 噪声块从 18 涨到 19：新写的文档又混进了 REPL 记录/伪代码/箭头注解/转义污染。非代码块请改用 ```text 标签。
tests/unit/test_match_elif_import_aliases.py::TestMatchSingleCharAliases::test_pi_is_compound_safe,tests/unit/test_match_elif_import_aliases.py,failure,词法层-单字保护/安全表,单字别名未进复合词安全表（frozenset() 为空）,需归因：8 条断言 frozenset() 为空，疑运行期表构造/加载问题，词法轮处置,,True,AssertionError: '匹' not found in frozenset()
tests/test_async_class_method.py::TestAsyncClassMethod::test_03_async_method读写己属性,tests/test_async_class_method.py,failure,语义债-代码生成断言,,语义轮：codegen 字符串断言族（点号/句号、成员赋值形态）,,True,"AssertionError: assert ('self.值 = (self.值 + 1)' in '# 由光明编译器生成\n# 源文件: 光明代码\n\ndef _light_trunc_div(a, b):\n    return a / b\n\nimport sys\nimport os\nimport ctypes\nfro...    # LIGHT_SRC:7\n        return self.值\n\n    async def 取值(self):\n        # LIGHT_SRC:10\n        return self.值\n\n' or 'self"
tests/test_context_manager.py::TestJueyiOOP成员赋值目标::test_自之属性赋值,tests/test_context_manager.py,failure,语义债-代码生成断言,,语义轮：codegen 字符串断言族（点号/句号、成员赋值形态）,,True,"assert 'self.姓名 = 姓名' in ""# 由光明编译器生成\n# 源文件: 光明代码\n\ndef _light_trunc_div(a, b):\n    return a / b\n\nimport sys\nimport os\nimport ctypes\nfro...LIGHT_SRC:2\nclass 人:\n    def __init__(self, 姓名):\n        # LIGHT_SRC:4\n        _light_attr_set(self, '姓名', 姓名)\n\n"""
tests/test_context_manager.py::TestJueyiOOP成员赋值目标::test_自之属性带索引赋值,tests/test_context_manager.py,failure,语义债-代码生成断言,,语义轮：codegen 字符串断言族（点号/句号、成员赋值形态）,,True,"assert 'self.成绩[科目] = 分数' in ""# 由光明编译器生成\n# 源文件: 光明代码\n\ndef _light_trunc_div(a, b):\n    return a / b\n\nimport sys\nimport os\nimport ctypes\nfro...HT_SRC:2\nclass 人:\n    def 录入(self, 科目, 分数):\n        # LIGHT_SRC:4\n        _light_attr_get(self, '成绩')[科目] = 分数\n\n"""
tests/test_context_manager.py::TestJueyiOOP成员赋值目标::test_普通标识符之成员赋值,tests/test_context_manager.py,failure,语义债-代码生成断言,,语义轮：codegen 字符串断言族（点号/句号、成员赋值形态）,,True,"assert 'obj.字段 = 1' in ""# 由光明编译器生成\n# 源文件: 光明代码\n\ndef _light_trunc_div(a, b):\n    return a / b\n\nimport sys\nimport os\nimport ctypes\nfro...tattr(_o, _k, _v)\n    return _v\n\n# LIGHT_SRC:2\ndef 甲(obj):\n    # LIGHT_SRC:3\n    _light_attr_set(obj, '字段', 1)\n"""
tests/test_context_manager.py::TestJueyiOOP成员赋值目标::test_点号成员赋值未被破坏,tests/test_context_manager.py,failure,语义债-代码生成断言,,语义轮：codegen 字符串断言族（点号/句号、成员赋值形态）,,True,"assert 'obj.字段 = 1' in ""# 由光明编译器生成\n# 源文件: 光明代码\n\ndef _light_trunc_div(a, b):\n    return a / b\n\nimport sys\nimport os\nimport ctypes\nfro...tattr(_o, _k, _v)\n    return _v\n\n# LIGHT_SRC:2\ndef 甲(obj):\n    # LIGHT_SRC:3\n    _light_attr_set(obj, '字段', 1)\n"""
tests/test_edge_cases.py::TestEdgeCasesClasses::test_class_with_multiple_methods,tests/test_edge_cases.py,failure,语义债-类/成员访问,「己」成员名未定义（己X 族）,语义轮：`己X` 未定义族归因（类/成员访问链路）,,True,"RuntimeError: 执行错误: name '己初始值' is not defined 生成的Python代码: # 由光明编译器生成 # 源文件: 光明代码  def _light_trunc_div(a, b):     return a / b  import sys import os import ctypes from typing import Any, Callable, Optional import math import random try:     sys.stdout.reconfigure(encoding='utf-8', errors='replace'"
tests/unit/test_v34_syntax_sugar.py::TestAttributeAssignment::test_self_attr_eq,tests/unit/test_v34_syntax_sugar.py,failure,语义债-代码生成断言,,语义轮：codegen 字符串断言族（点号/句号、成员赋值形态）,,True,"assert 'self.x = 1' in ""# 由光明编译器生成\n# 源文件: 光明代码\n\ndef _light_trunc_div(a, b):\n    return a / b\n\nimport sys\nimport os\nimport ctypes\nfro...v\n\n# LIGHT_SRC:1\nclass A:\n    def f(self, self):\n        # LIGHT_SRC:3\n        _light_attr_set(self, 'x', 1)\n\n"""
tests/unit/test_v34_syntax_sugar.py::TestAttributeAssignment::test_self_attr_等于,tests/unit/test_v34_syntax_sugar.py,failure,语义债-代码生成断言,,语义轮：codegen 字符串断言族（点号/句号、成员赋值形态）,,True,"assert ('self.x == 1' in ""# 由光明编译器生成\n# 源文件: 光明代码\n\ndef _light_trunc_div(a, b):\n    return a / b\n\nimport sys\nimport os\nimport ctypes\nfro...v\n\n# LIGHT_SRC:1\nclass A:\n    def f(self, self):\n        # LIGHT_SRC:3\n        _light_attr_set(self, 'x', 1)\n\n"" or 'self.x = 1' in ""# 由光明编译器生成\n# "
tests/unit/test_v34_syntax_sugar.py::TestAttributeAssignment::test_obj_attr_eq,tests/unit/test_v34_syntax_sugar.py,failure,语义债-代码生成断言,,语义轮：codegen 字符串断言族（点号/句号、成员赋值形态）,,True,"assert 'p.x = 10' in ""# 由光明编译器生成\n# 源文件: 光明代码\n\ndef _light_trunc_div(a, b):\n    return a / b\n\nimport sys\nimport os\nimport ctypes\nfro...\n        setattr(_o, _k, _v)\n    return _v\n\n# LIGHT_SRC:1\np = 点(3, 4)\n# LIGHT_SRC:2\n_light_attr_set(p, 'x', 10)"""
tests/unit/test_v34_syntax_sugar.py::TestAttributeAssignment::test_dot_access_still_works,tests/unit/test_v34_syntax_sugar.py,failure,语义债-代码生成断言,,语义轮：codegen 字符串断言族（点号/句号、成员赋值形态）,,True,"assert 'p.x' in ""# 由光明编译器生成\n# 源文件: 光明代码\n\ndef _light_trunc_div(a, b):\n    return a / b\n\nimport sys\nimport os\nimport ctypes\nfro...\n        setattr(_o, _k, _v)\n    return _v\n\n# LIGHT_SRC:1\np = 点(3, 4)\n# LIGHT_SRC:2\nx = _light_attr_get(p, 'x')"""
tests/test_tls_light.py::test_缺cryptography必须响亮降级,tests/test_tls_light.py,failure,环境红-缺依赖,cryptography,环境红：永久豁免（0.82 不装第三方库为既定口径）；若环境决策改变（装 cryptography/lunardate/requests）可整类解锁,,True,Failed: 本机缺 cryptography（No module named 'cryptography'）：TLS 测试无法生成自签证书，本文件的 TLS 覆盖为零。 修法二选一：装上 cryptography（测试侧依赖，不进 .light 实现，不破坏「运行时零第三方依赖」）；或确认要放弃这轮 TLS 覆盖时显式设LIGHT_ALLOW_SKIP_TLS_TEST=1。**不许靠 importorskip 静默转绿。**
tests/unit/test_lexer_p0a_deterministic.py::TestP0A复合词压力::test_六雷区_整体成词,tests/unit/test_lexer_p0a_deterministic.py,failure,词法层-切词行为,,词法轮：与 R57 任务1 同族，逐条归因（含 R36 钉现状对表）,,True,"AssertionError: Lists differ: [('KEYWORD', '导出'), ('IDENTIFIER', '事件表')] != [('IDENTIFIER', '导出事件表')]  First differing element 0: ('KEYWORD', '导出') ('IDENTIFIER', '导出事件表')  First list contains 1 additional elements. First extra element 1: ('IDENTIFIER', '事件表')  - [('KEYWORD', '导出'), ('IDENTIFIER', '"
tests/unit/test_lexer_p0a_deterministic.py::TestP0A复合词压力::test_同构复合词_整体成词,tests/unit/test_lexer_p0a_deterministic.py,failure,词法层-切词行为,,词法轮：与 R57 任务1 同族，逐条归因（含 R36 钉现状对表）,,True,"AssertionError: Lists differ: [('KEYWORD', '外部'), ('IDENTIFIER', '命令')] != [('IDENTIFIER', '外部命令')]  First differing element 0: ('KEYWORD', '外部') ('IDENTIFIER', '外部命令')  First list contains 1 additional elements. First extra element 1: ('IDENTIFIER', '命令')  - [('KEYWORD', '外部'), ('IDENTIFIER', '命令')"
